*****************************
Basic coeficients
*****************************
   14.00    ,   -.5684E-03
   16.00    ,    .1275E-02

Alpha, Cnp
  -6.000    ,    .8810E-03
  -4.000    ,    .4879E-03
  -2.000    ,    .9977E-04
    .000    ,   -.2933E-03
   2.000    ,   -.6974E-03
   4.000    ,   -.1110E-02
   6.000    ,   -.1541E-02
   8.000    ,   -.1994E-02
   10.00    ,   -.2428E-02
   12.00    ,   -.2865E-02
   14.00    ,   -.3449E-02
   16.00    ,   -.4886E-02

Alpha, Cnr
  -6.000    ,   -.3516E-02
  -4.000    ,   -.3596E-02
  -2.000    ,   -.3668E-02
    .000    ,   -.3731E-02
   2.000    ,   -.3786E-02
   4.000    ,   -.3833E-02
   6.000    ,   -.3870E-02
   8.000    ,   -.3898E-02
   10.00    ,   -.3916E-02
   12.00    ,   -.3925E-02
   14.00    ,   -.3925E-02
   16.00    ,   -.3916E-02

Alpha, Clr
  -6.000    ,   -.2152E-03
  -4.000    ,    .3661E-03
  -2.000    ,    .9136E-03
    .000    ,    .1460E-02
   2.000    ,    .2032E-02
   4.000    ,    .2625E-02
   6.000    ,    .3231E-02
   8.000    ,    .3800E-02
   10.00    ,    .4244E-02
   12.00    ,    .4574E-02
   14.00    ,    .4653E-02
   16.00    ,    .3531E-02

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -30.00    ,   -.1403    
  -23.00    ,   -.1237    
  -15.00    ,   -.1082    
  -10.00    ,   -.7406E-01
  -5.000    ,   -.3703E-01
    .000    ,     .000    
   5.000    ,    .3703E-01
   10.00    ,    .7406E-01
   16.00    ,    .1139    

Plain flaps
DeltaFlap, Cm
  -30.00    ,    .4704    
  -23.00    ,    .4151    
  -15.00    ,    .3621    
  -10.00    ,    .2487    
  -5.000    ,    .1243    
    .000    ,     .000    
   5.000    ,   -.1243    
   10.00    ,   -.2487    
   16.00    ,   -.3809    

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
            ,   -30.00    ,   -23.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    16.00    
  -6.000    ,    .8085E-02,   -.3299E-02,    .2911E-03,   -.2004E-05,    .2328E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -4.000    ,    .6739E-02,   -.4787E-02,   -.4519E-03,   -.1285E-05,    .2780E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -2.000    ,    .5355E-02,   -.6503E-02,   -.1202E-02,   -.5460E-06,    .3300E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
    .000    ,    .3957E-02,   -.8701E-02,   -.1975E-02,    .2010E-06,    .3967E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   2.000    ,    .2562E-02,    .5551E-02,   -.2802E-02,    .9456E-06,   -.7697E-03,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   4.000    ,    .1171E-02,    .4504E-02,   -.3706E-02,    .1689E-05,   -.5113E-04,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   6.000    ,   -.2320E-03,    .3425E-02,   -.4748E-02,    .2439E-05,    .6883E-03,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   8.000    ,   -.1679E-02,    .2336E-02,   -.6082E-02,    .3212E-05,    .1435E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   10.00    ,   -.3229E-02,    .1250E-02,    .1312E-02,    .4039E-05,    .2180E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   12.00    ,   -.4921E-02,    .1666E-03,    .9523E-03,    .4943E-05,    .2923E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   14.00    ,   -.6871E-02,   -.9265E-03,    .5825E-03,    .5986E-05,    .3673E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   16.00    ,   -.9368E-02,   -.2054E-02,    .2090E-03,    .7320E-05,    .4446E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29

Plain Flaps (set 2)
DeltaFlap, CL
   30.00    ,   -.1385    
   23.00    ,   -.1220    
   15.00    ,   -.1068    
   10.00    ,   -.7307E-01
   5.000    ,   -.3653E-01
    .000    ,     .000    
  -5.000    ,    .3653E-01
  -10.00    ,    .7307E-01
  -16.00    ,    .1124    

Plain Flaps (set 2)
DeltaFlap, Cm
   30.00    ,    .4638    
   23.00    ,    .4093    
   15.00    ,    .3570    
   10.00    ,    .2451    
   5.000    ,    .1226    
    .000    ,     .000    
  -5.000    ,   -.1226    
  -10.00    ,   -.2451    
  -16.00    ,   -.3755    

Cd_Flaps for Plain Flaps (set 2)
Alpha, DeltaFlap
            ,    30.00    ,    23.00    ,    15.00    ,    10.00    ,    5.000    ,     .000    ,   -5.000    ,   -10.00    ,   -16.00    
  -6.000    ,    .7919E-02,   -.3299E-02,    .2709E-03,   -.1977E-05,    .2293E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -4.000    ,    .6592E-02,   -.4767E-02,   -.4620E-03,   -.1268E-05,    .2738E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -2.000    ,    .5226E-02,   -.6460E-02,   -.1202E-02,   -.5387E-06,    .3252E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
    .000    ,    .3846E-02,   -.8628E-02,   -.1964E-02,    .1983E-06,    .3910E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   2.000    ,    .2471E-02,    .5442E-02,   -.2781E-02,    .9330E-06,   -.7756E-03,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   4.000    ,    .1099E-02,    .4408E-02,   -.3672E-02,    .1666E-05,   -.6668E-04,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   6.000    ,   -.2859E-03,    .3345E-02,   -.4700E-02,    .2406E-05,    .6628E-03,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   8.000    ,   -.1714E-02,    .2270E-02,   -.6016E-02,    .3170E-05,    .1400E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   10.00    ,   -.3243E-02,    .1199E-02,    .1290E-02,    .3986E-05,    .2135E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   12.00    ,   -.4911E-02,    .1298E-03,    .9354E-03,    .4875E-05,    .2867E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
